id,name,amenity,lat,lon
504,Công viên Bến Bạch Đằng,,10.778664850929541,106.70763094736992
505,Trường Đại học Mở Thành phố Hồ Chí Minh,university,10.761096098688503,106.69223775596147
506,Unknown,parking,10.768782195722395,106.68633082904124
507,Bệnh viện Từ Dũ (khu M),hospital,10.767878183302654,106.68473858753833
508,Unknown,parking,10.775803529140049,106.70700914276762
509,Unknown,parking,10.774610137122798,106.70633927864073
510,Unknown,parking,10.780103402839266,106.69567978029364
511,Unknown,parking,10.7805752,106.6961322
512,Đại học Kinh tế Thành phố Hồ Chí Minh - cơ sở D,university,10.791862272578584,106.68841442657197
513,Unknown,parking,10.790320996744013,106.70490506617799
514,Unknown,parking,10.790419329656816,106.70307924911391
515,Unknown,,10.790525402212493,106.70296734773196
516,Unknown,parking,10.779926792983392,106.70034941453932
517,Unknown,parking,10.772736651774995,106.70137716088018
518,Unknown,,10.791440585073172,106.70567734796516
519,Unknown,parking,10.770612717181002,106.69545693203867
520,Unknown,,10.78572530925377,106.70958824294851
521,Unknown,parking,10.76936542979131,106.69394600568427
522,Trường Tiểu học Trần Khánh Dư,school,10.794831586750297,106.69170223712145
523,Trường Tiểu học Đuốc Sống,school,10.790385585899084,106.69190174623937
524,Trường Tiểu học Nguyễn Huệ,school,10.770864539369155,106.69098322224002
525,Trường Tiểu học Trần Quang Khải (cơ sở 1),school,10.793243300736602,106.69335431828043
526,Trường Tiểu học Trần Quang Khải (cơ sở 2),school,10.789622602882798,106.69341304263804
527,Trường Tiểu học Phan Văn Trị,school,10.76694313770769,106.68439954637189
528,Trường Tiểu học Chương Dương,school,10.758560475206176,106.69115756290167
529,Trường Tiểu học Lê Ngọc Hân,school,10.772792241446771,106.68948534092804
530,Trường Trung học cơ sở Chu Văn An,school,10.765075725058782,106.68984828709891
531,Trường Trung học cơ sở Huỳnh Khương Ninh,school,10.789299903809614,106.69575312289552
532,Unknown,parking,10.787792071851763,106.70078218542689
533,Unknown,parking,10.786237650382423,106.70296218286506
534,Công viên Phong Châu,,10.766412366666666,106.68284366666666
535,Ministop,,10.794459827897452,106.6909070442841
536,7-Eleven,,10.7918529,106.68993449999999
537,Ministop,,10.790490990258018,106.69210423239228
538,Unknown,parking,10.774203215973314,106.70165026849894
539,Cửa hàng Xăng dầu Petrolimex Số 03,fuel,10.771413775486408,106.69517562149598
540,7-Eleven,,10.768413794793085,106.69302768769063
