id,name,amenity,lat,lon,road_node
351,Bảo tàng Tôn Đức Thắng,,10.7772275,106.707092,9622589906
352,Ministop,,10.7906513,106.6996112,411926458
353,UBND Phường Đakao,,10.7888191,106.6998278,4099242263
354,Mạc Đĩnh Chi,,10.7869617,106.6980755,411918912
355,Hai Bà Trưng,,10.7852597,106.6964717,411926538
356,Trường Nguyễn Thái Học,,10.7676443,106.6962379,411919456
357,Nhà sách Nguyễn Văn Cừ,,10.7575307,106.6848655,2289923630
358,Chợ Dân Sinh,,10.7662108,106.6994332,10215863915
359,Sở Giao dịch Chứng khoán,,10.7687202,106.70154,411926247
360,Vinhomes Golden River - Khu phức hợp Ba Son,,10.7834393,106.7089584,6509071748
361,Vinhomes Golden River - Khu phúc hợp Ba Son,,10.7835393,106.7090633,6509071748
362,Bến Bạch Đằng,,10.7764276,106.7068992,7902006422
363,Báo An ninh Thế giới,,10.7599004,106.6850186,411921399
364,Rạp Trần Hưng Đạo,,10.7648329,106.6926828,4302891988
365,Wedo Skin Clinic Quan 1,hospital,10.7888402,106.6974043,411925992
366,Unknown,,10.7710029,106.6964944,4673510847
367,7-Eleven,,10.7724314,106.6972167,411926070
368,7-Eleven,,10.7719747,106.6944422,411926055
369,Trung tâm VinCom,,10.776776,106.7022438,1985346078
370,Nhà hát Thành phố,,10.7753669,106.7038026,411919545
371,Dinh Độc Lập,,10.778308,106.6965283,6858588491
372,Sân vận động Tao Đàn,,10.7762661,106.6943088,12157150907
373,Thủ Khoa Huân,,10.7743451,106.6967129,5763135356
374,Chùa Bà Ấn,,10.772314,106.695901,411926437
375,GS25,,10.78193,106.70111,5742669214
376,7-Eleven,,10.7818559,106.7011933,5742669214
377,GS25,,10.7811577,106.7008712,5742669214
378,Nhà Văn hóa Thanh niên,,10.7814708,106.6972392,1769456883
379,Nhà Văn hóa Thanh niên,,10.7814056,106.697177,1769456883
380,Circle K,,10.7755018,106.7042649,411919545
381,Techcombank Lê Duẩn,,10.7838463,106.7018991,4605462429
382,Grand Marina SaiGon,,10.7839399,106.7085218,6509071748
383,Mini stop,,10.7680533,106.6984934,411925603
384,Chợ Dân sinh,,10.7662302,106.6986479,10215863915
385,Ga Bến Thành,,10.7700679,106.6966362,10106997792
386,Công viên Tao Đàn,,10.774328,106.6937052,411919033
387,Ga Bến Thành,,10.769969,106.696688,10106997792
388,Chùa Trường Thạnh,,10.7685607,106.696703,411926174
389,Công viên Đống Đa,,10.7758758,106.7017186,10560232676
390,Unknown,parking,10.769641,106.7054782,1769173843
391,Unknown,parking,10.7705198,106.7056119,5735511406
392,7-Eleven,,10.773051,106.6950403,411926613
393,Bệnh Viện Thẩm Mỹ Siam Thailand,hospital,10.7605922,106.6855655,411920788
394,FamilyMart,,10.7690238,106.6943666,4609314796
395,7-Eleven,,10.7688037,106.6938374,411926483
396,Unknown,charging_station,10.7708742,106.696069,4673510847
397,Gujju Indian Mart,,10.7688747,106.69397,411926483
398,GS25,,10.7685228,106.6933874,411926483
399,Nhà Xe Phúc Bình Dương,parking,10.7779142,106.7060295,411925958
400,7eleven,,10.7638297,106.6872398,13521425710
401,7eleven,,10.7659048,106.6897399,4603243122
402,co.op,,10.7653754,106.6847407,4611419047
403,GS25,,10.7729916,106.6993877,9722186805
404,7-Eleven,,10.7726939,106.6991376,11221021745
405,Mexbus Ho Chi Minh City Disctrict 1,,10.7630713,106.6950209,5772158997
406,Điểm đầu cuối Nguyễn Siêu,,10.7799853,106.706441,411926043
407,Ngô Văn Năm,,10.7798383,106.707644,9690705590
408,Trường BDVH 218 Lý Tự Trọng,school,10.7725053,106.6948796,411926390
409,Gs25,,10.7672947,106.6866505,5762711578
410,Chung cư Nguyễn Thái Bình,,10.7698311,106.7004139,411919179
411,Công viên 30/4,,10.77923035429604,106.6973776582395,6858588489
412,Công viên 23 tháng 9,,10.76950439333642,106.69394422385676,3506700347
413,Thảo Cầm Viên Sài Gòn,,10.787892328330283,106.70653594949684,411925950
414,Công viên Lê Văn Tám,,10.788222946601197,106.69377925985638,411918853
415,Co.op Mart,,10.767201884263006,106.68619127870215,12584655706
416,Unknown,parking,10.769317628928963,106.69349165693684,411926483
417,Trường Đại học Khoa học xã hội và Nhân văn,university,10.786095205170811,106.70316332749393,2974077439
418,Khoa Dược - Đại học Y Dược Thành phố Hồ Chí Minh,university,10.78494557975636,106.7020616445657,2974077439
419,Unknown,,10.777158149999996,106.70261794999996,1985346078
420,Công viên Chi Lăng,,10.777779736676662,106.70156242336326,411926380
421,Công viên Thương xá Tax,,10.77468064646587,106.70210806347164,10560232673
422,Unknown,parking,10.783082420901094,106.70010388927018,10978360617
423,Unknown,,10.783536383413354,106.70044365078527,10978360611
424,Unknown,parking,10.780930473509814,106.6995303831942,10978360614
425,Lavenue Crown Hotel,parking,10.781493789957382,106.6989531546564,10978360613
426,Unknown,parking,10.777991291544952,106.70642537304538,411925958
427,Công viên Lê Lợi,,10.773956543636974,106.6995672161492,411926001
428,Trường Cao đẳng Kỹ thuật Cao Thắng,college,10.77159581855053,106.70157883983174,6747284158
429,Unknown,,10.78316355,106.70186045,411925954
430,Trường Tiểu học Nguyễn Thái Học,school,10.767960632045323,106.69597114897071,9404261912
431,Trường Tiểu học Nguyễn Bỉnh Khiêm,school,10.788374840587652,106.70411723556838,411925985
432,Bệnh viện Nhi đồng 2,hospital,10.781406904363791,106.70261078524982,5742669214
433,Công viên Bách Tùng Diệp,,10.776462999862432,106.69918881509436,5743072751
434,Trường Tiểu học Khai Minh,school,10.769168912733312,106.70039251939798,11744922278
